case,policy_seed,portfolio,value_ppo,economic_value_ppo,expected_loss_ppo,value_myopic,economic_value_myopic,expected_loss_myopic,lower_initial_value_higher_total
normal_loose,101,12,-372.7907468780858,552.1771787251894,1463.7795657768638,-461.2373963049044,551.2282485009347,1735.868738249374,False
normal_loose,101,13,-383.78726117465766,552.2426323223121,1879.8898231643036,-892.7468994242632,558.2859950723209,2150.36824011462,True
normal_loose,101,14,-1090.485147097061,703.2068803747385,2368.7612245191717,-2047.6089374415928,710.664426073988,2820.5297698604254,True
normal_loose,101,15,-188.1959366358398,505.188170446791,1969.5951927640524,-200.97219206450964,507.6545109806816,2341.6995219492446,True
normal_loose,101,16,-645.462628840268,398.9064768061981,1414.4675100987947,-1158.339518577248,399.4058238972588,1645.2163432263492,True
normal_loose,101,17,-1330.2544059111872,632.8983777424053,2653.9059531334547,-915.95930567388,615.9000519229687,2853.8398682807992,False
normal_loose,101,18,-1270.13167408696,531.4585609800722,1760.339904391174,-1983.5291774251764,529.3498221986981,2107.327258993203,False
normal_loose,101,19,-881.6370959264699,-2712.2463374032827,2127.6452943874724,-2256.8808580944224,-2796.0750062172465,2528.714787443409,False
normal_loose,101,20,-1060.6611585318594,444.3354755391984,1163.657201981812,-1019.63505825371,440.2772130145306,1374.1149442333622,False
normal_loose,101,21,-697.7203997168718,594.1586093207832,1633.6942157638578,-771.9733440970932,602.2915208669409,1938.6853470460696,True
normal_loose,101,22,-420.50903118837465,405.2736377057542,1524.577764760005,-902.6349236330052,410.0891316236399,1821.5800083350607,True
normal_loose,101,23,-1056.2500955686817,527.7417793849796,2257.8190804889023,-1995.1733630946133,522.7400593128942,2597.4285519623195,False
normal_loose,202,0,-514.1704505304837,653.5186967260976,1730.146270086333,-1098.8301892145996,665.9913856697586,2146.7852559392923,True
normal_loose,202,1,-379.7893381376997,566.6034551845307,2483.191213824421,-1479.573715650293,565.5607405130545,2841.653445862639,False
normal_loose,202,2,-435.0821660191853,-2873.1473889401946,1628.3724406795848,-1436.4856503228375,-2952.642428807121,2033.3343686429491,False
normal_loose,202,3,-941.8729671383386,-3257.132260069283,1900.3631448368997,-1372.6716309418568,-3342.123036781206,2252.735529606732,False
normal_loose,202,4,-859.1980060533975,574.0699205741614,2107.474396892881,-846.1550891520328,581.2407326244984,2519.6286601381066,False
normal_loose,202,5,-541.9254978115636,562.5553507310402,2249.382332467981,-1157.074513372683,568.7247617346515,2591.3989895501923,True
normal_loose,202,6,-504.85203512269135,605.1253997534393,1514.244253324115,-862.8584752630687,611.771651634135,1731.6316728652575,True
normal_loose,202,7,-144.38309308465182,753.743399079888,1607.2880659708978,-530.750979254924,764.5944160449249,1921.6814312218996,True
normal_loose,202,8,461.8294700996864,-1350.7100470464777,1915.5653034509955,431.5606746636099,-1406.7594996366847,2145.6076492791703,False
normal_loose,202,9,-634.8614157313827,644.0647628093978,1433.3557306149262,-1549.4736901681656,658.4291288038271,1773.690056558446,True
normal_loose,202,10,-285.70304257802206,751.772146343791,2453.999574070904,-1243.1490522185622,758.3643385504705,2786.7923656118915,True
normal_loose,202,11,187.14216522568668,524.8068114814658,1558.368688065587,-234.22430596095455,535.01964165304,2040.6360187980565,True
normal_loose,202,12,181.23343395747057,543.6709507454992,1373.5359396207264,-461.2373963049044,551.2282485009347,1735.868738249374,True
normal_loose,202,13,-100.80264662267426,550.4294655651008,1811.3189759882675,-892.7468994242632,558.2859950723209,2150.36824011462,True
normal_loose,202,14,-243.49852913730308,699.3787984066623,2187.802121141309,-2047.6089374415928,710.664426073988,2820.5297698604254,True
normal_loose,202,15,-27.87827960733173,500.7704448556531,1895.8903653852344,-200.97219206450964,507.6545109806816,2341.6995219492446,True
normal_loose,202,16,-638.5389349402602,399.0308891924219,1399.632568401919,-1158.339518577248,399.4058238972588,1645.2163432263492,True
normal_loose,202,17,-671.3528254974195,618.0695622950268,2562.1267711142573,-915.95930567388,615.9000519229687,2853.8398682807992,False
normal_loose,202,18,-1107.161132567952,520.2253915266344,1677.8984927186964,-1983.5291774251764,529.3498221986981,2107.327258993203,True
normal_loose,202,19,-968.5432270530556,-2778.7764900189127,2076.031636260238,-2256.8808580944224,-2796.0750062172465,2528.714787443409,False
normal_loose,202,20,-797.7337685384852,432.6428091177996,1075.1667568877017,-1019.63505825371,440.2772130145306,1374.1149442333622,True
normal_loose,202,21,-555.8145799215978,592.232020621375,1573.6656997444018,-771.9733440970932,602.2915208669409,1938.6853470460696,True
normal_loose,202,22,-229.48781078506087,404.44808901980383,1469.8692468689474,-902.6349236330052,410.0891316236399,1821.5800083350607,True
normal_loose,202,23,-755.8012251728388,510.0532417648678,2140.2569745139194,-1995.1733630946133,522.7400593128942,2597.4285519623195,True
normal_loose,303,0,-731.0215740873955,653.056902077979,1710.2125746258953,-1098.8301892145996,665.9913856697586,2146.7852559392923,True
normal_loose,303,1,-630.8944523367909,557.3294986371382,2328.8229967001016,-1479.573715650293,565.5607405130545,2841.653445862639,True
normal_loose,303,2,-604.1142442948595,-2874.147939852008,1563.8262977715162,-1436.4856503228375,-2952.642428807121,2033.3343686429491,False
normal_loose,303,3,-1431.1671734103809,-3276.0475996053347,1841.9961045077405,-1372.6716309418568,-3342.123036781206,2252.735529606732,False
normal_loose,303,4,-934.9903552899324,574.0699205741614,2107.474396892881,-846.1550891520328,581.2407326244984,2519.6286601381066,False
normal_loose,303,5,-887.3412059251035,559.6897463923618,2182.2550730204634,-1157.074513372683,568.7247617346515,2591.3989895501923,True
normal_loose,303,6,-821.0353126459503,603.2429281059522,1483.676261295325,-862.8584752630687,611.771651634135,1731.6316728652575,True
normal_loose,303,7,-332.1680542591658,753.743399079888,1607.2880659708978,-530.750979254924,764.5944160449249,1921.6814312218996,True
normal_loose,303,8,-89.87339979894455,-1358.0667586471334,1821.72855694025,431.5606746636099,-1406.7594996366847,2145.6076492791703,False
normal_loose,303,9,-573.0445910507816,644.0647628093978,1433.3557306149262,-1549.4736901681656,658.4291288038271,1773.690056558446,True
normal_loose,303,10,-822.4866433372207,750.8160226366165,2380.8719175994224,-1243.1490522185622,758.3643385504705,2786.7923656118915,True
normal_loose,303,11,-48.346223054494565,524.5754999067522,1525.6842169675149,-234.22430596095455,535.01964165304,2040.6360187980565,True
normal_loose,303,12,-220.6977101941748,543.0852552751167,1348.2514242284308,-461.2373963049044,551.2282485009347,1735.868738249374,True
normal_loose,303,13,-343.16264545910394,548.9403244474631,1737.2630392885403,-892.7468994242632,558.2859950723209,2150.36824011462,True
