case,policy,metric,mean,lower,upper,portfolio_sd,training_seed_sd
pd_noise,PPO_hard,el_violation_rate,0.17361111111111108,0.12235243055555552,0.22395833333333331,0.06211299937499416,0.03658213108629424
pd_noise,PPO_hard,true_violation_rate,0.0850694444444444,0.05381944444444442,0.12152777777777773,0.05059037480517108,0.007955860581520542
pd_noise,PPO_penalty,value,-796.5915465311973,-1000.0072528048362,-628.6704778860282,319.63485757479305,0.0
pd_noise,PPO_penalty,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
pd_noise,PPO_penalty,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
pd_noise,PPO_penalty,el_violation_rate,0.13541666666666663,0.08854166666666666,0.17708333333333331,0.073022881823722,0.0
pd_noise,PPO_penalty,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
pd_noise,PPO_unconstrained,value,-796.5915465311973,-1000.0072528048362,-628.6704778860282,319.63485757479305,0.0
pd_noise,PPO_unconstrained,loss,1138.5464468706296,979.5153857423006,1339.2553354440965,304.7900409398794,0.0
pd_noise,PPO_unconstrained,default_rate,0.6979166666666666,0.65625,0.7291666666666666,0.06200198409523708,0.0
pd_noise,PPO_unconstrained,el_violation_rate,0.13541666666666663,0.08854166666666666,0.17708333333333331,0.073022881823722,0.0
pd_noise,PPO_unconstrained,true_violation_rate,0.08333333333333329,0.05729166666666661,0.10937499999999996,0.044543540318737404,0.0
pd_noise,RiskBased,value,-735.1350846073367,-997.5590198892181,-482.6243380270518,432.67325856587524,0.0
pd_noise,RiskBased,loss,1528.9016352589092,1320.7460758938523,1748.9180020204876,355.3422928542826,0.0
pd_noise,RiskBased,default_rate,0.6041666666666667,0.53125,0.6770833333333333,0.11572751247156893,0.0
pd_noise,RiskBased,el_violation_rate,0.2604166666666667,0.21354166666666666,0.30208333333333337,0.06588078458684124,0.0
pd_noise,RiskBased,true_violation_rate,0.09895833333333329,0.062499999999999944,0.14583333333333326,0.06658290869403896,0.0
pd_noise,Static,value,-1488.2326491483477,-1732.694541667311,-1262.7901396922134,375.1337988373068,0.0
pd_noise,Static,loss,2442.274385453608,2238.0155047714366,2648.1061825476245,325.0895151226942,0.0
pd_noise,Static,default_rate,0.6458333333333333,0.5833333333333334,0.71875,0.10681165741027596,0.0
pd_noise,Static,el_violation_rate,0.4739583333333333,0.41666666666666663,0.5364583333333334,0.10896678356561197,0.0
pd_noise,Static,true_violation_rate,0.19791666666666663,0.1614583333333333,0.22916666666666663,0.05786375623578448,0.0
pd_over,BufferedRiskBased,value,-616.2409317851517,-835.6462161875404,-386.49333897022206,396.0857634168821,0.0
pd_over,BufferedRiskBased,loss,1309.8765526141165,1129.7637437710107,1477.0850519758474,301.7881095515153,0.0
pd_over,BufferedRiskBased,default_rate,0.5833333333333333,0.5104166666666667,0.6458333333333334,0.10910894511799618,0.0
pd_over,BufferedRiskBased,el_violation_rate,0.2916666666666667,0.25247395833333336,0.3360677083333332,0.0704295212273764,0.0
pd_over,BufferedRiskBased,true_violation_rate,0.09895833333333329,0.06249999999999996,0.14062499999999994,0.06274752572115479,0.0
pd_over,Decrease20,value,-841.0253174293788,-1042.1305800950702,-666.0698810607065,320.93524189071945,0.0
pd_over,Decrease20,loss,1190.1875566906297,1021.1288340337596,1381.9292838948136,305.42186070808225,0.0
pd_over,Decrease20,default_rate,0.7083333333333333,0.6666666666666666,0.75,0.07715167498104597,0.0
pd_over,Decrease20,el_violation_rate,0.22395833333333331,0.19791666666666663,0.25,0.04419417382415926,0.0
pd_over,Decrease20,true_violation_rate,0.11458333333333329,0.0885416666666666,0.14583333333333326,0.048540197709226456,0.0
pd_over,Greedy,value,-776.5785215768647,-889.0448483494296,-649.709963062411,196.55599822572913,0.0
pd_over,Greedy,loss,1623.717978615507,1475.8689581664626,1773.3864321652823,235.31853747007884,0.0
pd_over,Greedy,default_rate,0.5416666666666667,0.4791666666666667,0.6041666666666667,0.09960238411119945,0.0
pd_over,Greedy,el_violation_rate,0.546875,0.48684895833333336,0.6041666666666666,0.09300297614285562,0.0
