world_id,policy,parameter,endpoint,parameter_value,value,delta_static,delta_myopic
oat_default_stress_low,AlwaysDecrease,default.stress,low,0.6,-845.7479961676275,892.7872707176008,710.7865566203981
oat_default_stress_low,AlwaysDecrease20,default.stress,low,0.6,-784.279018508131,954.2562483770973,772.2555342798946
oat_default_stress_low,AlwaysIncrease,default.stress,low,0.6,-2067.698547723695,-329.16328083846656,-511.1639949356693
oat_default_stress_low,MyopicEconomic,default.stress,low,0.6,-1556.5345527880256,182.00071409720272,0.0
oat_default_stress_low,PDThreshold,default.stress,low,0.6,-1011.898658550877,726.6366083343513,544.6358942371486
oat_default_stress_low,PPO,default.stress,low,0.6,-784.279018508131,954.2562483770973,772.2555342798946
oat_default_stress_low,PPO_without_PD,default.stress,low,0.6,-784.279018508131,954.2562483770973,772.2555342798946
oat_default_stress_low,Random,default.stress,low,0.6,-1548.4823051231058,190.05296176212255,8.052247664919832
oat_default_stress_low,SIMULATOR_ONLY_ORACLE_Myopic,default.stress,low,0.6,-1527.2150174007986,211.32024948442972,29.319535387227006
oat_default_stress_low,Static,default.stress,low,0.6,-1738.5352668852283,0.0,-182.00071409720272
oat_default_stress_low,UtilizationPD,default.stress,low,0.6,-998.4796925206185,740.0555743646098,558.0548602674071
oat_default_utilization_high,AlwaysDecrease,default.utilization,high,1.65,-1072.0840843205388,786.921895950227,491.898854373444
oat_default_utilization_high,AlwaysDecrease20,default.utilization,high,1.65,-871.9868594872817,987.0191207834841,691.9960792067011
oat_default_utilization_high,AlwaysIncrease,default.utilization,high,1.65,-2066.0230456819118,-207.01706541114595,-502.040106987929
oat_default_utilization_high,MyopicEconomic,default.utilization,high,1.65,-1563.9829386939828,295.02304157678304,0.0
oat_default_utilization_high,PDThreshold,default.utilization,high,1.65,-1235.3479883289508,623.657991941815,328.63495036503195
oat_default_utilization_high,PPO,default.utilization,high,1.65,-871.9868594872817,987.0191207834841,691.9960792067011
oat_default_utilization_high,PPO_without_PD,default.utilization,high,1.65,-871.9868594872817,987.0191207834841,691.9960792067011
oat_default_utilization_high,Random,default.utilization,high,1.65,-1620.8373327839672,238.1686474867986,-56.85439408998445
oat_default_utilization_high,SIMULATOR_ONLY_ORACLE_Myopic,default.utilization,high,1.65,-1687.5095495670585,171.49643070370735,-123.5266108730757
oat_default_utilization_high,Static,default.utilization,high,1.65,-1859.0059802707658,0.0,-295.02304157678304
oat_default_utilization_high,UtilizationPD,default.utilization,high,1.65,-1239.9178944361242,619.0880858346416,324.0650442578585
oat_default_utilization_low,AlwaysDecrease,default.utilization,low,0.85,-829.9057892322513,838.6961498995726,828.6776267972444
oat_default_utilization_low,AlwaysDecrease20,default.utilization,low,0.85,-725.8496600115957,942.7522791202282,932.7337560179001
oat_default_utilization_low,AlwaysIncrease,default.utilization,low,0.85,-2086.3579832217392,-417.75604408991535,-427.77456719224347
oat_default_utilization_low,MyopicEconomic,default.utilization,low,0.85,-1658.5834160294958,10.018523102328118,0.0
oat_default_utilization_low,PDThreshold,default.utilization,low,0.85,-963.2059578910923,705.3959812407315,695.3774581384034
oat_default_utilization_low,PPO,default.utilization,low,0.85,-725.8496600115957,942.7522791202282,932.7337560179001
oat_default_utilization_low,PPO_without_PD,default.utilization,low,0.85,-725.8496600115957,942.7522791202282,932.7337560179001
oat_default_utilization_low,Random,default.utilization,low,0.85,-1536.7045966037863,131.8973425280376,121.87881942570948
