policy,policy_seed,replicate,metric,clipping,IS,WIS,ESS,mean_weight,max_weight,weight_p99,nonzero_weights,zero_weight_fraction,IS_lower,IS_upper,IS_valid_bootstraps,WIS_lower,WIS_upper,WIS_valid_bootstraps,unreliable,episodes,true_MC_value,MC_standard_error,MC_lower,MC_upper,customers,IS_error,IS_covers_MC_point,WIS_error,WIS_covers_MC_point
PPO_without_PD,404,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO_without_PD,404,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO_without_PD,404,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO_without_PD,505,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO_without_PD,505,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO_without_PD,505,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO_without_PD,505,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
Behavior,-1,0,net_economic_value,none,-968.2706298173184,-968.2706298173188,600.0,1.0,1.0,1.0,600,0.0,-1130.816492039666,-798.1170073514016,400,-1130.8164920396662,-798.1170073514019,400,False,600,-998.668179087975,45.905702222563924,-1090.3156771582808,-911.7654998906797,2000,30.397549270656555,True,30.397549270656214,True
Behavior,-1,0,net_economic_value,20.0,-968.2706298173184,-968.2706298173188,600.0,1.0,1.0,1.0,600,0.0,-1130.816492039666,-798.1170073514016,400,-1130.8164920396662,-798.1170073514019,400,False,600,-998.668179087975,45.905702222563924,-1090.3156771582808,-911.7654998906797,2000,30.397549270656555,True,30.397549270656214,True
Behavior,-1,0,cumulative_reward,none,-4362.142503640728,-4362.142503640727,600.0,1.0,1.0,1.0,600,0.0,-4643.932551622945,-4053.6432389694405,400,-4643.932551622945,-4053.6432389694405,400,False,600,-4265.936456771599,81.5242143751003,-4423.220811099285,-4110.460256918664,2000,-96.20604686912884,True,-96.20604686912793,True
Behavior,-1,0,cumulative_reward,20.0,-4362.142503640728,-4362.142503640727,600.0,1.0,1.0,1.0,600,0.0,-4643.932551622945,-4053.6432389694405,400,-4643.932551622945,-4053.6432389694405,400,False,600,-4265.936456771599,81.5242143751003,-4423.220811099285,-4110.460256918664,2000,-96.20604686912884,True,-96.20604686912793,True
SoftPDThreshold,-1,0,net_economic_value,none,-877.3284423323286,-921.9893599606992,349.1088466732741,0.951560267864399,6.698699148027748,4.245680677107118,600,0.0,-1023.4478435774251,-680.1138502297624,400,-1106.096156305917,-700.9152719086983,400,False,600,-925.0986101443532,44.35827735921656,-1019.6318482062359,-836.234778131052,2000,47.770167812024624,True,3.1092501836540123,True
SoftPDThreshold,-1,0,net_economic_value,20.0,-877.3284423323286,-921.9893599606992,349.1088466732741,0.951560267864399,6.698699148027748,4.245680677107118,600,0.0,-1023.4478435774251,-680.1138502297624,400,-1106.096156305917,-700.9152719086983,400,False,600,-925.0986101443532,44.35827735921656,-1019.6318482062359,-836.234778131052,2000,47.770167812024624,True,3.1092501836540123,True
SoftPDThreshold,-1,0,cumulative_reward,none,-4039.577728635748,-4245.214796222873,349.1088466732741,0.951560267864399,6.698699148027748,4.245680677107118,600,0.0,-4383.03713946834,-3645.6516244475374,400,-4537.679734147147,-3932.97021463748,400,False,600,-4056.4473529690804,75.70146221106306,-4201.8759946626415,-3909.628425416655,2000,16.869624333332467,True,-188.7674432537924,True
